ensembl_gene_id	ensembl_gene_id2	hgnc_symbol
ENSG00000166049	ENSG00000166049.11	PASD1
ENSG00000130032	ENSG00000130032.17	PRRG3
ENSG00000182508	ENSG00000182508.14	LHFPL1
ENSG00000147378	ENSG00000147378.11	FATE1
ENSG00000183862	ENSG00000183862.5	CNGA2
ENSG00000071553	ENSG00000071553.17	ATP6AP1
ENSG00000126016	ENSG00000126016.15	AMOT
ENSG00000147381	ENSG00000147381.11	MAGEA4
ENSG00000147246	ENSG00000147246.10	HTR2C
ENSG00000123496	ENSG00000123496.8	IL13RA2
ENSG00000077713	ENSG00000077713.19	SLC25A43
ENSG00000005022	ENSG00000005022.6	SLC25A5
ENSG00000123569	ENSG00000123569.8	H2BW1
ENSG00000101812	ENSG00000101812.12	H2BW2
ENSG00000269226	ENSG00000269226.7	TMSB15B
ENSG00000269743	ENSG00000269743.3	SLC25A53
ENSG00000166707	ENSG00000166707.11	ZCCHC18
ENSG00000102349	ENSG00000102349.18	KLF8
ENSG00000188021	ENSG00000188021.8	UBQLN2
ENSG00000018610	ENSG00000018610.15	CXorf56
ENSG00000102032	ENSG00000102032.13	RENBP
ENSG00000101974	ENSG00000101974.14	ATP11C
ENSG00000077721	ENSG00000077721.16	UBE2A
ENSG00000172534	ENSG00000172534.14	HCFC1
ENSG00000186416	ENSG00000186416.16	NKRF
ENSG00000177854	ENSG00000177854.8	TMEM187
ENSG00000203933	ENSG00000203933.3	CXorf66
ENSG00000134595	ENSG00000134595.8	SOX3
ENSG00000227234	ENSG00000227234.2	SPANXB1
ENSG00000182195	ENSG00000182195.9	LDOC1
ENSG00000198573	ENSG00000198573.7	SPANXC
ENSG00000203926	ENSG00000203926.5	SPANXA2
ENSG00000198021	ENSG00000198021.7	SPANXA1
ENSG00000196406	ENSG00000196406.4	SPANXD
ENSG00000165509	ENSG00000165509.13	MAGEC3
ENSG00000155495	ENSG00000155495.9	MAGEC1
ENSG00000046774	ENSG00000046774.10	MAGEC2
ENSG00000184216	ENSG00000184216.14	IRAK1
ENSG00000189326	ENSG00000189326.4	SPANXN4
ENSG00000189252	ENSG00000189252.4	SPANXN3
ENSG00000179542	ENSG00000179542.16	SLITRK4
ENSG00000268988	ENSG00000268988.1	SPANXN2
ENSG00000203923	ENSG00000203923.5	SPANXN1
ENSG00000185985	ENSG00000185985.10	SLITRK2
ENSG00000203879	ENSG00000203879.12	GDI1
ENSG00000125354	ENSG00000125354.23	SEPTIN6
ENSG00000169057	ENSG00000169057.23	MECP2
ENSG00000071859	ENSG00000071859.15	FAM50A
ENSG00000187808	ENSG00000187808.5	SOWAHD
ENSG00000198918	ENSG00000198918.8	RPL39
ENSG00000125351	ENSG00000125351.12	UPF3B
ENSG00000196976	ENSG00000196976.7	LAGE3
ENSG00000130827	ENSG00000130827.6	PLXNA3
ENSG00000102178	ENSG00000102178.13	UBL4A
ENSG00000126903	ENSG00000126903.16	SLC10A3
ENSG00000134602	ENSG00000134602.16	STK26
ENSG00000125352	ENSG00000125352.6	RNF113A
ENSG00000125356	ENSG00000125356.7	NDUFA1
ENSG00000165694	ENSG00000165694.9	FRMD7
ENSG00000071889	ENSG00000071889.16	FAM3A
ENSG00000076770	ENSG00000076770.14	MBNL3
ENSG00000123728	ENSG00000123728.10	RAP2C
ENSG00000269335	ENSG00000269335.5	IKBKG
ENSG00000160211	ENSG00000160211.19	G6PD
ENSG00000171004	ENSG00000171004.18	HS6ST2
ENSG00000134588	ENSG00000134588.12	USP26
ENSG00000183434	ENSG00000183434.10	TFDP3
ENSG00000268651	ENSG00000268651.3	CTAG1A
ENSG00000076716	ENSG00000076716.9	GPC4
ENSG00000083750	ENSG00000083750.12	RRAGB
ENSG00000204025	ENSG00000204025.7	TRPC5OS
ENSG00000160131	ENSG00000160131.13	VMA21
ENSG00000022267	ENSG00000022267.19	FHL1
ENSG00000156697	ENSG00000156697.13	UTP14A
ENSG00000102174	ENSG00000102174.9	PHEX
ENSG00000101977	ENSG00000101977.21	MCF2
ENSG00000247746	ENSG00000247746.4	USP51
ENSG00000187601	ENSG00000187601.5	MAGEH1
ENSG00000130822	ENSG00000130822.16	PNCK
ENSG00000102172	ENSG00000102172.16	SMS
ENSG00000130821	ENSG00000130821.16	SLC6A8
ENSG00000204279	ENSG00000204279.7	PAGE3
ENSG00000158639	ENSG00000158639.12	PAGE5
ENSG00000044446	ENSG00000044446.12	PHKA2
ENSG00000187325	ENSG00000187325.5	TAF9B
ENSG00000173198	ENSG00000173198.6	CYSLTR1
ENSG00000179300	ENSG00000179300.4	RTL3
ENSG00000147145	ENSG00000147145.12	LPAR4
ENSG00000242362	ENSG00000242362.2	CT47A2
ENSG00000078589	ENSG00000078589.13	P2RY10
ENSG00000147138	ENSG00000147138.2	GPR174
ENSG00000185448	ENSG00000185448.10	FAM47A
ENSG00000102055	ENSG00000102055.7	PPP1R2C
ENSG00000068366	ENSG00000068366.20	ACSL4
ENSG00000147027	ENSG00000147027.4	TMEM47
ENSG00000078596	ENSG00000078596.11	ITM2A
ENSG00000236371	ENSG00000236371.5	CT47A1
ENSG00000122145	ENSG00000122145.15	TBX22
ENSG00000182890	ENSG00000182890.5	GLUD2
ENSG00000176076	ENSG00000176076.7	KCNE5
ENSG00000174016	ENSG00000174016.11	TENT5D
ENSG00000189132	ENSG00000189132.6	FAM47B
ENSG00000189023	ENSG00000189023.10	MAGEB16
ENSG00000171478	ENSG00000171478.7	SPACA5B
ENSG00000147140	ENSG00000147140.16	NONO
ENSG00000165288	ENSG00000165288.11	BRWD3
ENSG00000165583	ENSG00000165583.14	SSX5
ENSG00000126752	ENSG00000126752.7	SSX1
ENSG00000125675	ENSG00000125675.18	GRIA3
ENSG00000102383	ENSG00000102383.14	ZDHHC15
ENSG00000165584	ENSG00000165584.16	SSX3
ENSG00000186675	ENSG00000186675.7	MAGEE2
ENSG00000102390	ENSG00000102390.11	PBDC1
ENSG00000268009	ENSG00000268009.6	SSX4
ENSG00000269791	ENSG00000269791.5	SSX4B
ENSG00000165164	ENSG00000165164.14	CFAP47
ENSG00000198934	ENSG00000198934.5	MAGEE1
ENSG00000189221	ENSG00000189221.9	MAOA
ENSG00000196468	ENSG00000196468.8	FGF16
ENSG00000131171	ENSG00000131171.13	SH3BGRL
ENSG00000198157	ENSG00000198157.11	HMGN5
ENSG00000182378	ENSG00000182378.14	PLCXD1
ENSG00000178605	ENSG00000178605.13	GTPBP6
ENSG00000198173	ENSG00000198173.5	FAM47C
ENSG00000069535	ENSG00000069535.14	MAOB
ENSG00000124479	ENSG00000124479.11	NDP
ENSG00000147041	ENSG00000147041.12	SYTL5
ENSG00000130962	ENSG00000130962.17	PRRG1
ENSG00000183690	ENSG00000183690.13	EFHC2
ENSG00000036473	ENSG00000036473.8	OTC
ENSG00000250349	ENSG00000250349.3	AF241726.2
ENSG00000165168	ENSG00000165168.8	CYBB
ENSG00000125676	ENSG00000125676.20	THOC2
ENSG00000165169	ENSG00000165169.11	DYNLT3
ENSG00000156298	ENSG00000156298.12	TSPAN7
ENSG00000017483	ENSG00000017483.15	SLC38A5
ENSG00000187516	ENSG00000187516.7	H2AP
ENSG00000047597	ENSG00000047597.7	XK
ENSG00000229674	ENSG00000229674.2	H2AL1RP
ENSG00000147036	ENSG00000147036.12	LANCL3
ENSG00000101955	ENSG00000101955.15	SRPX
ENSG00000156313	ENSG00000156313.15	RPGR
ENSG00000167393	ENSG00000167393.18	PPP2R3B
ENSG00000185960	ENSG00000185960.14	SHOX
ENSG00000069509	ENSG00000069509.6	FUNDC1
ENSG00000189037	ENSG00000189037.8	DUSP21
ENSG00000196767	ENSG00000196767.9	POU3F4
ENSG00000205755	ENSG00000205755.12	CRLF2
ENSG00000183035	ENSG00000183035.13	CYLC1
ENSG00000072133	ENSG00000072133.11	RPS6KA6
ENSG00000102100	ENSG00000102100.16	SLC35A2
ENSG00000165259	ENSG00000165259.14	HDX
ENSG00000101966	ENSG00000101966.12	XIAP
ENSG00000155008	ENSG00000155008.14	APOOL
ENSG00000184788	ENSG00000184788.13	SATL1
ENSG00000282419	ENSG00000282419.3	TEX13D
ENSG00000101972	ENSG00000101972.19	STAG2
ENSG00000147050	ENSG00000147050.15	KDM6A
ENSG00000102096	ENSG00000102096.9	PIM2
ENSG00000183918	ENSG00000183918.17	SH2D1A
ENSG00000009694	ENSG00000009694.13	TENM1
ENSG00000068308	ENSG00000068308.13	OTUD5
ENSG00000102057	ENSG00000102057.10	KCND1
ENSG00000147113	ENSG00000147113.17	DIPK2B
ENSG00000068400	ENSG00000068400.13	GRIPAP1
ENSG00000147180	ENSG00000147180.16	ZNF711
ENSG00000124429	ENSG00000124429.18	POF1B
ENSG00000147121	ENSG00000147121.16	KRBOX4
ENSG00000188419	ENSG00000188419.14	CHM
ENSG00000184033	ENSG00000184033.13	CTAG1B
ENSG00000126733	ENSG00000126733.21	DACH2
ENSG00000251192	ENSG00000251192.7	ZNF674
ENSG00000068323	ENSG00000068323.17	TFE3
ENSG00000147119	ENSG00000147119.4	CHST7
ENSG00000126890	ENSG00000126890.13	CTAG2
ENSG00000165195	ENSG00000165195.15	PIGA
ENSG00000160219	ENSG00000160219.12	GAB3
ENSG00000165197	ENSG00000165197.5	VEGFD
ENSG00000102010	ENSG00000102010.15	BMX
ENSG00000087842	ENSG00000087842.11	PIR
ENSG00000198223	ENSG00000198223.16	CSF2RA
